"","train_test","par","epoch","RMSE"
"1","Train","f =  10 , lambda =  0.01",1,0.825492321126578
"2","Train","f =  20 , lambda =  0.01",1,0.792257329406183
"3","Train","f =  10 , lambda =  0.1",1,0.896950115533266
"4","Train","f =  20 , lambda =  0.1",1,0.859585796002687
"5","Test","f =  10 , lambda =  0.01",1,1.31317113197169
"6","Test","f =  20 , lambda =  0.01",1,1.45623031144783
"7","Test","f =  10 , lambda =  0.1",1,1.28964060334732
"8","Test","f =  20 , lambda =  0.1",1,1.38456486928954
"9","Train","f =  10 , lambda =  0.01",2,0.709164985911818
"10","Train","f =  20 , lambda =  0.01",2,0.657109098786927
"11","Train","f =  10 , lambda =  0.1",2,0.770601759969434
"12","Train","f =  20 , lambda =  0.1",2,0.722461181819499
"13","Test","f =  10 , lambda =  0.01",2,1.26931853808784
"14","Test","f =  20 , lambda =  0.01",2,1.39921924944026
"15","Test","f =  10 , lambda =  0.1",2,1.21836969885879
"16","Test","f =  20 , lambda =  0.1",2,1.2947428566802
"17","Train","f =  10 , lambda =  0.01",3,0.664825473748148
"18","Train","f =  20 , lambda =  0.01",3,0.600871121267004
"19","Train","f =  10 , lambda =  0.1",3,0.719163597781336
"20","Train","f =  20 , lambda =  0.1",3,0.667661275193177
"21","Test","f =  10 , lambda =  0.01",3,1.26838329425301
"22","Test","f =  20 , lambda =  0.01",3,1.39167699327606
"23","Test","f =  10 , lambda =  0.1",3,1.19614849392052
"24","Test","f =  20 , lambda =  0.1",3,1.26538030242085
"25","Train","f =  10 , lambda =  0.01",4,0.635328806298631
"26","Train","f =  20 , lambda =  0.01",4,0.564281472604628
"27","Train","f =  10 , lambda =  0.1",4,0.687678024113931
"28","Train","f =  20 , lambda =  0.1",4,0.632421922474098
"29","Test","f =  10 , lambda =  0.01",4,1.27295030912909
"30","Test","f =  20 , lambda =  0.01",4,1.39431099801983
"31","Test","f =  10 , lambda =  0.1",4,1.18510756544977
"32","Test","f =  20 , lambda =  0.1",4,1.24931313229434
"33","Train","f =  10 , lambda =  0.01",5,0.613249867426778
"34","Train","f =  20 , lambda =  0.01",5,0.5357175489876
"35","Train","f =  10 , lambda =  0.1",5,0.665512289540629
"36","Train","f =  20 , lambda =  0.1",5,0.60545584756613
"37","Test","f =  10 , lambda =  0.01",5,1.2776627693272
"38","Test","f =  20 , lambda =  0.01",5,1.39892806579567
"39","Test","f =  10 , lambda =  0.1",5,1.1791478122405
"40","Test","f =  20 , lambda =  0.1",5,1.2390885616532
"41","Train","f =  10 , lambda =  0.01",6,0.59527713869893
"42","Train","f =  20 , lambda =  0.01",6,0.512948703020049
"43","Train","f =  10 , lambda =  0.1",6,0.648768839841371
"44","Train","f =  20 , lambda =  0.1",6,0.584434867074043
"45","Test","f =  10 , lambda =  0.01",6,1.28144626231034
"46","Test","f =  20 , lambda =  0.01",6,1.40420664106737
"47","Test","f =  10 , lambda =  0.1",6,1.17412867272374
"48","Test","f =  20 , lambda =  0.1",6,1.23232750214775
"49","Train","f =  10 , lambda =  0.01",7,0.581087522637679
"50","Train","f =  20 , lambda =  0.01",7,0.493286656357054
"51","Train","f =  10 , lambda =  0.1",7,0.63543430514498
"52","Train","f =  20 , lambda =  0.1",7,0.567982099404655
"53","Test","f =  10 , lambda =  0.01",7,1.28694445707931
"54","Test","f =  20 , lambda =  0.01",7,1.40844581606015
"55","Test","f =  10 , lambda =  0.1",7,1.17171389088109
"56","Test","f =  20 , lambda =  0.1",7,1.22735998737913
"57","Train","f =  10 , lambda =  0.01",8,0.569479222750428
"58","Train","f =  20 , lambda =  0.01",8,0.476965936844115
"59","Train","f =  10 , lambda =  0.1",8,0.625665791877179
"60","Train","f =  20 , lambda =  0.1",8,0.555482943749745
"61","Test","f =  10 , lambda =  0.01",8,1.29112770645006
"62","Test","f =  20 , lambda =  0.01",8,1.41335399693265
"63","Test","f =  10 , lambda =  0.1",8,1.16948171436792
"64","Test","f =  20 , lambda =  0.1",8,1.22364737487323
"65","Train","f =  10 , lambda =  0.01",9,0.558738154163364
"66","Train","f =  20 , lambda =  0.01",9,0.462860228427361
"67","Train","f =  10 , lambda =  0.1",9,0.616287417707035
"68","Train","f =  20 , lambda =  0.1",9,0.543748672047862
"69","Test","f =  10 , lambda =  0.01",9,1.29528623576674
"70","Test","f =  20 , lambda =  0.01",9,1.41734790876549
"71","Test","f =  10 , lambda =  0.1",9,1.16712843042765
"72","Test","f =  20 , lambda =  0.1",9,1.2201034240595
"73","Train","f =  10 , lambda =  0.01",10,0.549712664637881
"74","Train","f =  20 , lambda =  0.01",10,0.450553190388445
"75","Train","f =  10 , lambda =  0.1",10,0.607874866506986
"76","Train","f =  20 , lambda =  0.1",10,0.5338950859217
"77","Test","f =  10 , lambda =  0.01",10,1.29929574219458
"78","Test","f =  20 , lambda =  0.01",10,1.42180838566366
"79","Test","f =  10 , lambda =  0.1",10,1.16558633666787
"80","Test","f =  20 , lambda =  0.1",10,1.21746159163358
